rvtr,artist,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,graphTrackId,hasPrimaryVersion,repairSkipReason,skipGroup,skipGroupDetail,peakHot100
RVTR841880,Lange Feat. Skye,vdj,Dri Feat Ing Away,dri feat ing away,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR344517,calvin harris,vdj,Drinking From The Bottle Feat Tinie Tempah,drinking from the bottle feat tinie tempah,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR612248,cardi b,vdj,Drip Feat Migos,drip feat migos,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR326984,josh groban,vdj,E Ti Promettero Feat Uring Laura Pausini,e ti promettero feat uring laura pausini,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR251983,labrinth,vdj,Earthquake Feat Tinie Tempah,earthquake feat tinie tempah,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR659897,sia,vdj,Elastic Heart Feat Shia Labeouf Maddie Ziegler,elastic heart feat shia labeouf maddie ziegler,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR697647,craig morgan,vdj,Every Friday A Feat Ernoon,every friday a feat ernoon,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR284590,iggy azalea,vdj,Fancy Feat Charli Xcx,fancy feat charli xcx,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR578885,Jae Mansa,vdj,Fate Feat A Lex,fate feat a lex,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR840395,tyler childers,vdj,Feat Hered Indians,feat hered indians,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR752549,Mahmut Orhan,vdj,Feel Feat Sena Sener,feel feat sena sener,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
