rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR163173,Big & Rich,Save A Horse,10,ready_for_card_assembly,19,5,19,5,4,
RVTR430551,Ben E. King,Stand By Me,10,ready_for_card_assembly,13,5,13,5,5,
RVTR367218,Bill Haley,Lets Rip It Up,10,ready_for_card_assembly,10,4,10,4,3,
RVTR329491,Albert Hammond,It Never Rains In Southern California,10,ready_for_card_assembly,13,5,13,5,6,
RVTR663947,Beck,Loser,9,ready_for_card_assembly,13,6,13,6,6,
RVTR753608,Billy Idol,Mony Mony,9,ready_for_card_assembly,12,4,12,4,6,
RVTR273312,Alabama Shakes,Hold On,9,ready_for_card_assembly,11,10,11,10,7,
RVTR471147,Anne Murray,Dannys Song,9,ready_for_card_assembly,16,6,16,6,4,
RVTR996243,Barenaked Ladies,One Week,9,ready_for_card_assembly,14,7,14,7,7,
RVTR862628,Alan Parsons Project,Don't Answer Me,9,ready_for_card_assembly,13,6,13,6,7,
RVTR680245,Blondie,Dreaming,8,ready_for_card_assembly,17,8,17,8,7,
RVTR588659,Better Than Ezra,Good,8,ready_for_card_assembly,15,5,15,5,7,
RVTR554537,Alabama,Mountain Music,8,ready_for_card_assembly,19,7,19,7,7,
RVTR193931,Badfinger,Day After Day,8,ready_for_card_assembly,10,7,10,7,7,
RVTR616871,Billy Joel,Uptown Girl,8,ready_for_card_assembly,18,7,18,7,7,
RVTR461100,Black Street,No Diggity,8,ready_for_card_assembly,18,5,18,5,4,
RVTR137744,Adam Ant,Goody Two Shoes,8,ready_for_card_assembly,15,9,15,9,7,
RVTR140412,38 Special,Hold On Loosely,8,ready_for_card_assembly,12,7,12,7,7,
